Agent at position (x: 526.6819, y: 0.1, z: 498.22) marked as 'A'
Agent at position (x: 397.84, y: 0.1, z: 495.3566) marked as 'A'
Agent at position (x: 467, y: 0.1, z: 493.8594) marked as 'A'
Agent at position (x: 533.7, y: 0.17, z: 328) marked as 'A'
Agent at position (x: 572.8, y: 0.1, z: 324.4) marked as 'A'
Building at position (x: -122.35, y: 0.00, z: -41.68) marked as '*'
Building at position (x: -149.34, y: 0.00, z: -23.23) marked as '*'
Building at position (x: -13.60, y: 0.00, z: -85.40) marked as '*'
Building at position (x: -91.98, y: 0.00, z: -40.20) marked as '*'
Building at position (x: -172.80, y: 0.00, z: -22.26) marked as '*'
Building at position (x: -137.30, y: 0.00, z: -86.44) marked as '*'
Building at position (x: -161.60, y: 0.00, z: 149.98) marked as '*'
Building at position (x: -205.60, y: 0.00, z: -84.00) marked as '*'
Building at position (x: -211.10, y: 0.00, z: 149.60) marked as '*'
Building at position (x: -155.50, y: 0.00, z: -85.70) marked as '*'
Building at position (x: -180.60, y: 0.00, z: 34.25) marked as '*'
Building at position (x: -152.27, y: 0.00, z: 20.40) marked as '*'
Building at position (x: -64.20, y: 0.00, z: 112.60) marked as '*'
Building at position (x: -235.70, y: 0.00, z: 146.10) marked as '*'
Building at position (x: -88.50, y: 0.00, z: 112.40) marked as '*'
Building at position (x: -186.60, y: 0.00, z: 150.70) marked as '*'
Building at position (x: -28.70, y: 0.00, z: -85.30) marked as '*'
Building at position (x: -152.58, y: 0.00, z: 6.39) marked as '*'
Building at position (x: -259.74, y: 0.00, z: -85.71) marked as '*'
Building at position (x: -95.20, y: 0.00, z: -26.00) marked as '*'
Building at position (x: -188.80, y: 0.00, z: -85.20) marked as '*'
Building at position (x: -93.55, y: 0.00, z: -53.68) marked as '*'
Building at position (x: -210.42, y: 0.00, z: -22.08) marked as '*'
Building at position (x: -156.60, y: 0.00, z: 112.70) marked as '*'
Building at position (x: -83.80, y: 0.00, z: -85.50) marked as '*'
Building at position (x: -88.40, y: 0.00, z: 145.70) marked as '*'
Building at position (x: -241.69, y: 0.00, z: -27.64) marked as '*'
Building at position (x: -166.60, y: 0.00, z: 6.68) marked as '*'
Building at position (x: -65.70, y: 0.00, z: 145.70) marked as '*'
Building at position (x: -182.19, y: 0.00, z: 16.61) marked as '*'
